,hmean,smean,vmean,hmax,smax,vmax
0,5.622413333333333,2.94336,2.736613333333333,136,128,108
1,24.9859,19.214386666666666,12.201613333333333,184,154,112
2,3.042553333333333,3.871113333333333,1.3076866666666667,107,120,93
3,6.49516,7.140373333333334,3.814766666666667,200,244,140
4,2.25368,2.9153333333333333,1.39306,164,222,134
5,2.4739733333333334,3.0468266666666666,1.4714866666666666,125,140,118
6,2.0610866666666667,2.508426666666667,1.0348333333333333,125,138,84
7,5.8625533333333335,6.583033333333334,3.4770933333333334,138,139,84
8,2.17812,1.93612,1.2585133333333334,84,93,56
9,2.17812,1.93612,1.2585133333333334,84,93,56
10,4.594406666666667,4.898306666666667,2.6945866666666665,116,126,93
11,4.3872,3.3354266666666668,2.3851666666666667,105,121,73
12,18.334746666666668,15.647433333333334,8.727853333333334,169,142,103
13,4.3872,3.3354266666666668,2.3851666666666667,105,121,73
14,2.75676,2.342033333333333,1.3578066666666666,103,109,66
15,2.3724266666666667,1.4512266666666667,1.1212733333333333,89,96,57
16,2.6016666666666666,1.48908,1.09248,97,105,64
17,1.02166,0.56074,0.4594,81,89,54
18,1.9591733333333334,0.95818,0.8568133333333333,78,64,47
19,1.9590866666666666,1.4085466666666666,1.2713066666666666,79,76,82
20,2.50852,1.6498,1.4875866666666666,86,74,82
21,2.50852,1.6498,1.4875866666666666,86,74,82
22,1.3755066666666667,0.8511533333333333,0.8200333333333333,92,74,60
23,15.73478,13.32558,7.43328,157,133,95
24,1.90708,1.4820666666666666,1.2677333333333334,87,70,60
25,0.33845333333333333,0.20783333333333334,0.18389333333333333,95,75,57
26,0.09672666666666667,0.06740666666666667,0.049833333333333334,77,58,46
27,0.09672666666666667,0.06740666666666667,0.049833333333333334,77,58,46
28,0.5270866666666667,0.31988,0.3185866666666667,108,74,65
29,1.3366133333333334,0.7692133333333333,0.71982,124,87,75
30,2.2587,1.2324533333333334,1.1379133333333333,125,87,72
31,1.2937866666666666,0.7278,0.7079466666666666,84,68,56
32,1.7471666666666668,0.9835933333333333,1.03476,80,48,55
33,4.03938,2.13564,2.3146133333333334,87,57,59
34,14.005186666666667,12.220993333333332,6.888986666666667,159,138,96
35,4.03938,2.13564,2.3146133333333334,87,57,59
36,0.31866666666666665,0.5317266666666667,0.6026666666666667,40,64,70
37,0.59338,0.41025333333333336,0.43161333333333335,80,79,64
38,3.5060333333333333,2.2313066666666668,2.0645933333333333,86,92,102
39,1.60508,1.9192733333333334,1.9564866666666667,75,108,120
40,1.60508,1.9192733333333334,1.9564866666666667,75,108,120
41,0.44488,0.7723466666666666,0.8509866666666667,48,72,80
42,0.6786,0.53708,0.3677066666666667,73,62,44
43,1.8972933333333333,1.5539266666666667,0.9865133333333334,113,115,70
44,4.13374,2.3746666666666667,1.8444,88,95,56
45,17.738253333333333,14.968006666666666,8.308253333333333,149,133,90
46,4.595046666666667,2.9192533333333333,2.29846,107,114,83
47,4.595046666666667,2.9192533333333333,2.29846,107,114,83
48,2.9292466666666668,3.4516666666666667,1.29908,152,157,95
49,1.8562,1.9267133333333333,0.9904733333333333,120,125,76
50,1.8562,1.9267133333333333,0.9904733333333333,120,125,76
51,1.94822,2.06478,1.26346,142,192,116
52,2.102926666666667,2.5587733333333333,1.49738,156,212,128
53,2.102926666666667,2.5587733333333333,1.49738,156,212,128
54,2.22954,2.8683133333333335,1.5847866666666666,172,236,141
55,6.685653333333334,8.538013333333334,4.217033333333333,184,250,150
56,10.633486666666666,8.845913333333334,5.7483466666666665,151,131,91
57,2.8710133333333334,3.564226666666667,1.6983333333333333,87,96,78
58,2.8710133333333334,3.564226666666667,1.6983333333333333,87,96,78
59,2.31634,2.08672,1.17722,138,117,80
60,0.8382333333333334,0.9477466666666666,0.52556,86,102,77
61,0.39337333333333335,0.5013333333333333,0.26716666666666666,85,97,80
62,2.8173,2.31326,1.4819733333333334,172,138,102
63,2.8173,2.31326,1.4819733333333334,172,138,102
64,2.3868133333333335,1.7206066666666666,1.15608,176,141,107
65,2.3868133333333335,1.7206066666666666,1.15608,176,141,107
66,1.9117933333333332,1.3938666666666666,0.9520933333333333,169,135,103
67,16.37242,13.24468,8.85188,177,149,106
68,1.0656066666666666,1.40338,0.43093333333333333,64,76,46
69,1.0656066666666666,1.40338,0.43093333333333333,64,76,46
70,1.5077733333333334,1.9000533333333334,0.6889733333333333,101,101,61
71,1.57874,2.0124,0.6653,123,134,81
72,1.57874,2.0124,0.6653,123,134,81
73,5.719033333333333,6.981986666666667,3.0861066666666668,114,131,96
74,5.719033333333333,6.981986666666667,3.0861066666666668,114,131,96
75,4.661793333333334,5.755213333333334,2.749686666666667,202,252,166
76,4.661793333333334,5.755213333333334,2.749686666666667,202,252,166
77,3.102386666666667,3.54936,1.8944533333333333,131,146,123
78,13.690366666666666,11.17578,7.807273333333334,181,155,110
79,6.859113333333333,6.552646666666667,3.0450866666666667,117,128,78
80,11.330226666666666,10.469753333333333,5.653973333333333,113,120,73
81,10.913686666666667,10.303213333333334,5.201533333333333,139,204,84
82,6.4383,6.135086666666667,3.4557,109,112,68
83,3.97678,4.070993333333333,2.21776,107,115,70
84,0.798,0.77148,0.42512666666666665,120,105,73
85,9.394893333333334,7.69148,4.82258,122,103,74
86,5.08104,3.9585666666666666,2.56496,102,81,62
87,2.15348,1.7134333333333334,1.1352,89,75,54
88,2.0853733333333335,1.6364266666666667,1.0757666666666668,82,76,50
89,7.521026666666667,6.349066666666666,4.288573333333333,176,153,107
90,6.490573333333334,4.782986666666667,3.22508,105,83,63
91,3.41708,2.861693333333333,1.5824333333333334,100,83,60
92,11.19394,8.459973333333334,5.877913333333334,103,80,62
93,3.6892733333333334,3.0056866666666666,1.8799533333333334,99,80,60
94,6.632666666666666,5.0888333333333335,3.1416933333333334,107,86,65
95,6.670106666666666,5.178286666666667,3.6212733333333333,113,87,68
96,12.690613333333333,9.514493333333334,6.109806666666667,105,84,64
97,11.715606666666666,9.09292,5.07708,134,161,90
98,4.8492733333333335,4.0482933333333335,2.1180733333333333,110,94,67
99,10.871586666666667,8.650853333333334,5.30584,119,136,78
100,7.533366666666667,6.280846666666666,4.34192,180,155,109
101,10.51322,8.913833333333333,5.192593333333333,113,106,62
102,81.39774666666666,62.98864666666667,40.650373333333334,181,154,110
103,5.420506666666666,4.9182,2.6462066666666666,135,149,82
104,7.55204,6.986753333333334,4.10322,143,168,101
105,6.966066666666666,6.169326666666667,3.6281,131,139,84
106,7.332133333333333,6.22378,3.6265,132,151,92
107,17.244693333333334,16.095926666666667,9.325613333333333,151,175,106
108,15.398066666666667,15.06676,8.74472,152,173,105
109,15.398066666666667,15.06676,8.74472,152,173,105
110,16.332113333333332,15.660473333333334,8.953186666666667,153,175,106
111,0.7165466666666667,0.5158933333333333,0.41729333333333335,73,53,44
112,94.94136666666667,67.48022666666667,35.56359333333333,169,142,103
113,15.571133333333334,14.680893333333334,8.352186666666666,152,173,105
114,15.571133333333334,14.680893333333334,8.352186666666666,152,173,105
115,14.541513333333333,12.88122,7.398366666666667,154,175,106
116,14.541513333333333,12.88122,7.398366666666667,154,175,106
117,16.458946666666666,14.819553333333333,8.69542,153,174,106
118,11.65974,10.341046666666667,5.974253333333333,149,172,103
119,4.811333333333334,4.13376,2.3074866666666667,138,159,96
120,8.41792,6.94134,4.175566666666667,114,109,69
121,7.7596533333333335,6.264273333333334,3.7607,122,108,74
122,7.7596533333333335,6.264273333333334,3.7607,122,108,74
123,98.35448,71.16972666666666,39.09408,173,143,104
124,3.17204,2.767193333333333,1.6128333333333333,112,105,68
125,5.10356,4.28558,2.60034,112,97,68
126,5.9516,4.87726,3.05822,117,101,71
127,5.2583,4.19498,2.6963,135,124,82
128,8.123506666666668,6.20206,3.913753333333333,110,93,67
129,8.123506666666668,6.20206,3.913753333333333,110,93,67
130,7.97,6.150246666666667,3.9410266666666667,117,108,70
131,4.192333333333333,3.3372733333333335,2.13344,111,105,67
132,7.513353333333334,6.56472,3.83624,132,145,88
133,7.985373333333333,8.301873333333333,4.398293333333333,137,169,101
134,98.5637,71.89906,40.6684,173,143,104
135,3.537053333333333,3.6925,2.05628,128,150,91
136,3.537053333333333,3.6925,2.05628,128,150,91
137,5.93312,5.915206666666666,3.31032,146,198,120
138,7.55734,7.8209333333333335,4.2597933333333335,166,230,136
139,2.1487133333333333,0.8331866666666666,0.86372,112,43,53
140,6.0902,2.7321466666666665,2.4718933333333335,142,78,72
141,4.481433333333333,1.9086666666666667,1.84604,133,59,69
142,6.5775,3.2365066666666666,2.70414,145,92,72
143,0.41204,0.47541333333333335,0.76436,24,36,40
144,8.722486666666667,2.87894,3.1479066666666666,110,67,71
145,94.00478,64.98863333333334,32.771166666666666,173,144,105
146,4.42452,2.81194,2.5465933333333335,130,79,81
147,5.943226666666667,3.9026533333333333,3.3705866666666666,146,138,116
148,1.1108866666666666,1.2309666666666668,2.06174,32,50,54
149,1.5113666666666667,1.20942,0.9252533333333334,173,148,123
150,3.18824,1.9218733333333333,1.8998,111,84,67
151,2.29358,1.50308,1.2810666666666666,79,73,61
152,2.06874,1.2683266666666666,1.2041133333333334,79,71,62
153,1.6968866666666667,0.99152,0.96848,80,69,60
154,2.1937466666666667,1.2886,1.3220933333333333,88,78,76
155,1.39794,0.9649866666666667,0.9095466666666666,74,77,70
156,81.74365333333333,61.7372,39.15026666666667,157,128,95
157,1.39794,0.9649866666666667,0.9095466666666666,74,77,70
158,5.780713333333333,4.619366666666667,3.2890533333333334,123,105,75
159,8.436793333333334,6.312686666666667,4.281393333333333,123,106,75
160,1.23666,0.9669333333333333,0.6197866666666667,89,76,54
161,0.48417333333333334,0.35356,0.21063333333333334,92,78,56
162,1.4416,1.1188933333333333,0.6932333333333334,105,93,64
163,0.7981666666666667,0.6352933333333334,0.41874666666666666,102,86,62
164,8.24818,6.158193333333333,4.145073333333333,128,107,78
165,2.0979133333333335,1.5048333333333332,0.9087733333333333,172,143,104
166,4.34906,3.1506,1.97896,186,157,113
167,4.3335,3.21346,2.0319866666666666,157,127,93
168,2.2614466666666666,1.5019533333333333,1.0321266666666666,169,142,103
169,1.6206,0.9864466666666667,0.6465133333333334,91,75,55
170,1.0317133333333333,0.7413266666666667,0.48362666666666665,99,80,60
171,0.5757333333333333,0.64534,0.39410666666666666,84,94,79
172,0.5924866666666667,0.4748133333333333,0.32488,143,121,87
173,0.6814066666666667,0.5392466666666667,1.1296733333333333,74,62,107
174,0.6407266666666667,0.49278,0.9765266666666667,74,61,110
175,1.87068,1.38166,3.696126666666667,92,76,140
176,2.04194,1.3829333333333333,4.19522,84,68,132
177,2.04194,1.3829333333333333,4.19522,84,68,132
178,4.75154,3.428113333333333,2.0159,157,124,93
179,8.902646666666667,6.496566666666666,7.588813333333333,123,104,126
180,8.902646666666667,6.496566666666666,7.588813333333333,123,104,126
181,2.2228133333333333,1.48254,4.8476333333333335,117,96,133
182,2.2228133333333333,1.48254,4.8476333333333335,117,96,133
183,3.4688133333333333,2.719106666666667,6.363026666666666,102,82,143
184,2.99298,2.0944133333333332,5.87094,115,97,135
185,2.6783866666666665,1.8651133333333334,5.679866666666666,97,81,138
186,2.8460133333333335,1.8931333333333333,5.548853333333334,102,87,138
187,2.8460133333333335,1.8931333333333333,5.548853333333334,102,87,138
188,1.5873133333333334,1.0392133333333333,3.02238,89,75,138
189,9.372786666666666,7.0496,4.316973333333333,189,163,115
190,1.4626266666666667,1.0567733333333333,2.2875466666666666,92,77,134
191,1.7551466666666666,1.34732,0.9446933333333334,133,112,81
192,0.7490333333333333,0.55968,0.4022733333333333,140,116,85
193,0.45893333333333336,0.33694666666666667,0.22251333333333334,101,85,61
194,0.45893333333333336,0.33694666666666667,0.22251333333333334,101,85,61
195,2.302486666666667,1.85988,1.2171733333333334,129,110,78
196,0.88556,0.68852,0.4313133333333333,95,80,57
197,1.9742666666666666,1.58432,1.0973,117,103,71
198,0.48242,0.39122,0.2574666666666667,107,93,65
199,0.48242,0.39122,0.2574666666666667,107,93,65
